ID,FX,FY,MZ
A0,-855841.0327889412,-3466069.1151616415,3096371562.900019
B0,-902236.6347097756,20230869.11516152,3195680358.163654
C0,-423851.1117451745,10815999.99999999,2157978428.202324
D0,-171960.5791594948,332404.6302787973,
E0,-193467.40926838826,21299595.369720973,
F0,-413160.9600833708,11086399.999999989,2124756956.6955752
G0,-406482.27223523904,5678399.999999994,2103833287.0721729
