NODEID,FX,FY,MZ
A,-371.36505254852,995932.393507431,49908015.2086769
D,-64928.634305398,1054067.60649257,189782099.602331
I,-1.15640830244956e-12,500000,
J,1.09867670516905e-12,500000,
