CASE,LOAD,FACTOR
Case-4b,wind,1.4
Case-4b,dead,1.25
Case-4b,snow,0.5
Case-4a,live,0.5
Case-4a,wind,1.4
Case-4a,dead,1.25
Case-2b,live,1.5
Case-2b,wind,0.4
Case-2b,dead,1.25
Case-2a,live,1.5
Case-2a,snow,0.5
Case-2a,dead,1.25
Case-3a,live,0.5
Case-3a,snow,1.5
Case-3a,dead,1.25
Case-3b,wind,0.4
Case-3b,snow,1.5
Case-3b,dead,1.25
