ID,FX,FY,MZ
A0,-814612.9431534593,-1552483.6411854743,2922824099.5789948
B0,-861413.9019768857,12166883.641185481,3023585909.635528
C0,-408594.37112723885,6848000.000000024,2041539928.935542
D0,-169339.94580358107,1148015.3281505047,
E0,-190949.97069857753,12547984.67184933,
F0,-398578.6022062177,7019200.000000023,2010958434.5650783
G0,-392231.0458619107,3595200.0000000126,1991132492.5039623
