NODEID,FX,FY,FZ
A0,-114985.83824602,8191415.00485184,
B0,-150393.851305492,14822984.9951481,
C0,-120336.218178424,12992089.2675682,
D0,-154495.099476222,15460977.5438786,
E0,-144093.356820238,16090933.1885535,
F0,-121127.687706022,11963883.9675249,
G0,-156567.948266001,11050516.0324755,
