ID,FXJ,FYJ,MZJ,FXK,FYK,MZK
CA0A1,-62553.9589943,531043.652231,1921652165.92,62553.9589943,-531043.652231,1530131573.58
CB0B1,10676953.959,577535.847906,2021195514.2,-10676953.959,-577535.847906,1732787497.19
CC0C1,6848000.0,269275.597978,1352152187.63,-6848000.0,-269275.597978,398139199.226
CD0D1,2634534.27998,107413.280897,0.0,-2634534.27998,-107413.280897,698186325.83
CE0E1,11061465.72,129305.535013,-2.98023223877e-08,-11061465.72,-129305.535013,840485977.586
CF0F1,7019200.0,262327.542413,1330339163.52,-7019200.0,-262327.542413,374789862.166
CG0G1,3595200.0,258098.543561,1317087199.03,-3595200.0,-258098.543561,360553334.115
CA1A2,259203.366683,458184.448347,1253382661.88,-259203.366683,-458184.448347,1266631804.03
CB1B2,9586396.63332,578629.961305,1596350186.95,-9586396.63332,-578629.961305,1586114600.22
CC1C2,6352000.0,-81159.6450682,-398139199.226,-6352000.0,81159.6450682,-48238848.649
CD1D2,2617758.03938,520534.058647,1464799394.13,-2617758.03938,-520534.058647,1398137928.43
CE1E2,10086241.9606,633182.691278,1788765896.49,-10086241.9606,-633182.691278,1693738905.55
CF1F2,6510800.0,-73472.0067017,-374789862.166,-6510800.0,73472.0067017,-29306174.6932
CG1G2,3334800.0,-68899.5078082,-360553334.115,-3334800.0,68899.5078082,-18393958.8299
CA2A3,499766.208725,382696.421659,1055365450.95,-499766.208725,-382696.421659,1049464868.18
CB2B3,8577033.79128,491210.219004,1351997986.25,-8577033.79128,-491210.219004,1349658218.27
CC2C3,5856000.0,13539.8724747,48238848.649,-5856000.0,-13539.8724747,26230449.9618
CD2D3,2680992.71716,407759.129108,1120202777.59,-2680992.71716,-407759.129108,1122472432.5
CE2E3,9031007.28284,503314.218997,1380267166.18,-9031007.28284,-503314.218997,1387961038.3
CF2F3,6002400.0,8609.3942151,29306174.6932,-6002400.0,-8609.3942151,18045493.4898
CG2G3,3074400.0,5870.74454158,18393958.8299,-3074400.0,-5870.74454158,13895136.1487
CA3A4,679320.370119,346428.786496,957580893.392,-679320.370119,-346428.786496,947777432.335
CB3B4,7628679.62988,457274.42155,1262814714.8,-7628679.62988,-457274.42155,1252194603.73
CC3C4,5360000.0,-2591.8520306,-26230449.9618,-5360000.0,2591.8520306,11975263.7935
CD3D4,2672852.769,379606.935388,1047542856.92,-2672852.769,-379606.935388,1040295287.71
CE3E4,8047147.231,478681.129026,1320624190.71,-8047147.231,-478681.129026,1312122018.93
CF3F4,5494000.0,-684.860945241,-18045493.4898,-5494000.0,684.860945241,14278758.291
CG3G4,2814000.0,285.440515057,-13895136.1487,-2814000.0,-285.440515057,15465058.9816
CA4A5,817820.267481,305556.623138,842507812.635,-817820.267481,-305556.623138,838053614.622
CB4B5,6721379.73252,415934.417742,1145969073.6,-6721379.73252,-415934.417742,1141670223.98
CC4C5,4864000.0,1077.89255786,-11975263.7935,-4864000.0,-1077.89255786,17903672.8618
CD4D5,2627169.86868,341561.354056,940028184.605,-2627169.86868,-341561.354056,938559262.704
CE4E5,7100830.13132,440032.55425,1210725505.54,-7100830.13132,-440032.55425,1209453542.84
CF4F5,4985600.0,554.663834661,-14278758.291,-4985600.0,-554.663834661,17329409.3816
CG4G5,2553600.0,282.494420845,-15465058.9816,-2553600.0,-282.494420845,17018778.2962
CA5A6,914071.295164,265702.529164,730658211.8,-914071.295164,-265702.529164,730705698.602
CB5B6,5856328.70484,376168.349002,1034453740.27,-5856328.70484,-376168.349002,1034472179.24
CC5C6,4368000.0,238.04788488,-17903672.8618,-4368000.0,-238.04788488,19212936.2286
CD5D6,2540431.12654,304770.856795,836795377.251,-2540431.12654,-304770.856795,839444335.12
CE5E6,6195568.87346,403315.500639,1107804395.85,-6195568.87346,-403315.500639,1110430857.67
CF5F6,4477200.0,367.029700821,-17329409.3816,-4477200.0,-367.029700821,19348072.7362
CG5G6,2293200.0,437.686814028,-17018778.2962,-2293200.0,-437.686814028,19426055.7734
CA6A7,968612.190725,225862.281394,618984339.107,-968612.190725,-225862.281394,623258208.56
CB6B7,5032987.80928,336311.585009,922717186.44,-5032987.80928,-336311.585009,926996531.107
CC6C7,3872000.0,383.596119709,-19212936.2286,-3872000.0,-383.596119709,21322714.887
CD6D7,2413043.01457,267606.150363,732628005.398,-2413043.01457,-267606.150363,739205821.601
CE6E7,5330956.98543,366147.261434,1003615682.05,-5330956.98543,-366147.261434,1010194255.84
CF6F7,3968800.0,353.385013756,-19348072.7362,-3968800.0,-353.385013756,21291690.3118
CG6G7,2032800.0,335.740666512,-19426055.7734,-2032800.0,-335.740666512,21272629.4392
CA7A8,981563.075115,186227.887513,508092487.722,-981563.075115,-186227.887513,516160893.597
CB7B8,4251236.92488,296680.236941,811837058.712,-4251236.92488,-296680.236941,819904244.465
CC7C8,3376000.0,304.46756626,-21322714.887,-3376000.0,-304.46756626,22997286.5014
CD7D8,2244746.77085,230310.436805,628327054.046,-2244746.77085,-230310.436805,638380348.38
CE7E8,4507253.22915,328849.906084,899310431.317,-4507253.22915,-328849.906084,909364052.145
CF7F8,3460400.0,311.463848539,-21291690.3118,-3460400.0,-311.463848539,23004741.4788
CG7G8,1772400.0,315.601241669,-21272629.4392,-1772400.0,-315.601241669,23008436.2684
CA8A9,953119.076745,146761.304543,397864837.027,-953119.076745,-146761.304543,409322337.958
CB8B9,3510880.92326,257213.744072,701608042.018,-3510880.92326,-257213.744072,713067550.376
CC8C9,2880000.0,275.527085185,-22997286.5014,-2880000.0,-275.527085185,24512685.4699
CD8D9,2035365.13244,192830.516802,523726068.312,-2035365.13244,-192830.516802,536841774.098
CE8E9,3724634.86756,291371.63854,794713147.051,-3724634.86756,-291371.63854,807830864.921
CF8F9,2952000.0,273.714509764,-23004741.4788,-2952000.0,-273.714509764,24510171.2825
CG8G9,1512000.0,273.554446839,-23008436.2684,-1512000.0,-273.554446839,24512985.726
CA9A10,883464.472055,107480.342254,288350722.242,-883464.472055,-107480.342254,302791160.153
CB9B10,2811735.52795,217927.357392,592086040.18,-2811735.52795,-217927.357392,606514425.477
CC9C10,2384000.0,238.340767809,-24512685.4699,-2384000.0,-238.340767809,25823559.6929
CD9D10,1784698.24769,155170.994949,418841581.625,-1784698.24769,-155170.994949,434598890.592
CE9E10,2983301.75231,253704.846181,689816931.854,-2983301.75231,-253704.846181,705559722.141
CF9F10,2443600.0,240.515367446,-24510171.2825,-2443600.0,-240.515367446,25833005.8034
CG9G10,1251600.0,237.603088032,-24512985.726,-1251600.0,-237.603088032,25819802.7101
CA10A11,772800.356747,68382.1244028,179563880.709,-772800.356747,-68382.1244028,196537803.507
CB10B11,2153599.64325,178867.723258,483357322.929,-2153599.64325,-178867.723258,500415154.991
CC10C11,1888000.0,181.585019981,-25823559.6929,-1888000.0,-181.585019981,26822277.3028
CD10D11,1492553.64098,117324.153059,313672976.173,-1492553.64098,-117324.153059,331609865.652
CE10E11,2283446.35902,215904.780941,584722343.984,-2283446.35902,-215904.780941,602753951.19
CF10F11,1935200.0,165.27472378,-25833005.8034,-1935200.0,-165.27472378,26742016.7842
CG10G11,991200.0,174.358594819,-25819802.7101,-991200.0,-174.358594819,26778774.9817
CA11A12,621313.112675,29498.7090164,71621742.5801,-621313.112675,-29498.7090164,90621157.01
CB11B12,1536286.88733,139719.862841,375009236.163,-1536286.88733,-139719.862841,393450009.463
CC11C12,1392000.0,206.05066012,-26822277.3028,-1392000.0,-206.05066012,27955555.9334
CD11D12,1158684.25658,79305.0499768,208187372.943,-1158684.25658,-79305.0499768,227990401.93
CE11E12,1625315.74342,177586.145792,478754966.285,-1625315.74342,-177586.145792,497968835.57
CF11F12,1426800.0,347.680975295,-26742016.7842,-1426800.0,-347.680975295,28654262.1484
CG11G12,730800.0,336.500738011,-26778774.9816,-730800.0,-336.500738011,28629529.0407
CA12A13,430005.663655,-8881.2241275,-32356096.9371,-430005.663655,8881.2241275,-16490635.7641
CB12B13,958794.336345,103475.527838,273756715.762,-958794.336345,-103475.527838,295358687.347
CC12C13,896000.0,-1081.27413023,-27955555.9334,-896000.0,1081.27413023,22008548.2172
CD12D13,783371.475433,40870.4875792,103661429.866,-783371.475433,-40870.4875792,121126251.82
CE12E13,1008628.52457,141330.461166,377251521.134,-1008628.52457,-141330.461166,400066015.277
CF12F13,918400.0,-1355.90372895,-28654262.1484,-918400.0,1355.90372895,21196791.6391
CG12G13,470400.0,-1358.0745969,-28629529.0407,-470400.0,1358.0745969,21160118.7578
CA13A14,202109.43178,-31612.4953593,-108726044.595,-202109.43178,31612.4953593,-112561422.92
CB13B14,417890.568219,52365.7067929,171147558.326,-417890.568219,-52365.7067929,195412389.225
CC13C14,400000.0,-3144.07831674,-22008548.2172,-400000.0,3144.07831674,1.78813934326e-07
CD13D14,367776.649328,6130.12904263,17545597.0496,-367776.649328,-6130.12904263,25365306.2488
CE13E14,432223.350672,80311.7250395,265313874.801,-432223.350672,-80311.7250395,296868200.475
CF13F14,410000.0,-3028.1130913,-21196791.6391,-410000.0,3028.1130913,-1.19209289551e-07
CG13G14,210000.0,-3022.87410825,-21160118.7578,-210000.0,3022.87410825,-7.7486038208e-07
BA1B1,95140.7961161,-321757.325677,-2783514235.46,-95140.7961161,842557.325677,-3329137684.14
BB1C1,96234.9095149,248000.0,0.0,-96234.9095149,248000.0,0.0
BC1D1,-254200.333531,248000.0,0.0,254200.333531,248000.0,0.0
BD1E1,158920.444219,-231223.759403,-2162985719.96,-158920.444219,727223.759403,-2629251874.07
BE1F1,662797.600484,248000.0,0.0,-662797.600484,248000.0,0.0
BF1G1,326998.051369,260400.0,0.0,-326998.051369,260400.0,0.0
BA2B2,78511.973312,-240562.842042,-2321997254.98,-78511.973312,761362.842042,-2938112586.47
BB2C2,-8907.76898856,248000.0,0.0,8907.76898856,248000.0,0.0
BC2D2,85791.7485542,248000.0,0.0,-85791.7485542,248000.0,0.0
BD2E2,-26983.1809849,-311234.677775,-2518340706.02,26983.1809849,807234.677775,-3074006071.73
BE2F2,-156851.653267,248000.0,0.0,156851.653267,248000.0,0.0
BF2G2,-74770.2523498,260400.0,0.0,74770.2523498,260400.0,0.0
BA3B3,117732.364837,-179554.161394,-2007045761.57,-117732.364837,700354.161394,-2612472933.07
BB3C3,83796.5673827,248000.0,0.0,-83796.5673827,248000.0,0.0
BC3D3,67664.8428773,248000.0,0.0,-67664.8428773,248000.0,0.0
