MEMBERID,FXJ,FYJ,MZJ,FXK,FYK,MZK
BF5G5,-1252.78261791688,202207.706989918,-413410949.806264,1252.78261791688,520192.293010082,-1256008126.79959
BA6B6,29840.9712263299,329193.213684516,253276469.075021,-29840.9712263299,393206.786315484,-589347725.387605
BB6C6,15678.1800992128,344000,0,-15678.1800992128,344000,0
BC6D6,8974.5322456634,228846.645971433,-172332385.238118,-8974.5322456634,459153.354028567,-979201155.047554
BD6E6,1731.82804901262,267200.726524142,160446674.518976,-1731.82804901262,420799.273475858,-928439409.277555
BE6F6,-1303.45349782653,344000,0,1303.45349782653,344000,0
BF6G6,-649.25479794581,201218.819205902,-418584114.10439,649.25479794581,521181.180794098,-1261218284.23364
BA7B7,30634.824134926,343601.375662732,328918467.080853,-30634.824134926,378798.624337268,-513704022.622164
BB7C7,17270.5774724069,344000,0,-17270.5774724069,344000,0
BC7D7,10655.8767811065,235963.39089109,-135737087.378265,-10655.8767811065,452036.60910891,-944629003.71084
BD7E7,3201.1905210789,269556.254944294,166277255.410982,-3201.1905210789,418443.745055706,-910714705.968037
BE7F7,-210.14012312753,344000,0,210.14012312753,344000,0
BF7G7,-105.517197190522,200820.788197856,-420675535.938412,105.517197190522,521579.211802144,-1263306187.9841
BA8B8,31372.6834361318,357206.696330811,400347631.77612,-31372.6834361318,365193.303669189,-442277320.302609
BB8C8,18745.6304988215,344000,0,-18745.6304988215,344000,0
BC8D8,12206.9889678211,242907.273193115,-99595665.5985595,-12206.9889678211,445092.726806885,-911331602.470291
BD8E8,4561.21777923562,272344.856115373,174491618.310753,-4561.21777923562,415655.143884627,-891043057.157025
BE8F8,817.237957000776,344000,0,-817.237957000776,344000,0
BF8G8,408.57248861227,200977.843814279,-419850141.170886,-408.57248861227,521422.156185721,-1262482498.77919
BA9B9,32056.8228991355,370067.740912909,467868975.563347,-32056.8228991355,352332.259087091,-374757695.977804
BB9C9,20113.9666997764,344000,0,-20113.9666997764,344000,0
BC9D9,13640.0125911966,249701.934440845,-63839631.4600341,-13640.0125911966,438298.065559155,-879141024.131521
BD9E9,5824.05374155536,275515.472560925,184805988.159955,-5824.05374155536,412484.527439075,-869651262.550709
BE9F9,1786.61601612117,344000,0,-1786.61601612117,344000,0
BF9G9,893.220965859669,201657.583107041,-416281075.031359,-893.220965859669,520742.416892959,-1258914302.34471
BA10B10,32691.9942307528,382238.112762434,531764252.260486,-32691.9942307528,340161.887237566,-310864068.254931
BB10C10,21384.2719401138,344000,0,-21384.2719401138,344000,0
BC10D10,14966.4914612826,256366.929953331,-28414684.1437141,-14966.4914612826,431633.070046669,-847916016.322974
BD10E10,7000.34721391165,279022.242540822,196966770.106724,-7000.34721391165,408977.757459178,-846744344.698502
BE10F10,2704.87945733692,344000,0,-2704.87945733692,344000,0
BF10G10,1352.36991996315,202831.438108036,-410117913.295515,-1352.36991996315,519568.561891964,-1252751986.5701
BA11B11,33282.2544722236,393766.977502662,592291542.153516,-33282.2544722236,328633.022497338,-250338278.375564
BB11C11,22564.769595321,344000,0,-22564.769595321,344000,0
BC11D11,16196.9938620865,262918.079109612,6719415.99655282,-16196.9938620865,425081.920890388,-817538624.900433
BD11E11,8099.97522785193,282824.003094735,210747910.683724,-8099.97522785193,405175.996905265,-822507879.736373
BE11F11,3578.59835671684,344000,0,-3578.59835671684,344000,0
BF11G11,1789.23836549043,204474.368535419,-401492167.622867,-1789.23836549043,517925.631464581,-1244126962.75523
BA12B12,33831.4337502938,404699.348121959,649687174.406517,-33831.4337502938,317700.651878041,-192944019.125946
BB12C12,23663.1060596954,344000,0,-23663.1060596954,344000,0
BC12D12,17341.2456234838,269367.938253589,41590739.533634,-17341.2456234838,418632.061746411,-787911356.997744
BD12E12,9132.05037252363,286883.701636016,225947417.306934,-9132.05037252363,401116.298363984,-797110400.946775
BE12F12,4413.98526392446,344000,0,-4413.98526392446,344000,0
BF12G12,2206.94091848232,206564.67937587,-390517726.511832,-2206.94091848232,515835.32062413,-1233153140.04154
BA13B13,34343.1041519265,415076.367308593,704167148.661203,-34343.1041519265,307323.632691407,-138465291.920974
BB13C13,24686.4200780377,344000,0,-24686.4200780377,344000,0
BC13D13,18408.2214393113,275726.188964591,76216611.5920346,-18408.2214393113,412273.811035409,-758954721.946121
BD13E13,10105.0228885792,291167.892859427,242384426.093848,-10105.0228885792,396832.107140573,-770705497.499584
BE13F13,5216.94919070182,344000,0,-5216.94919070182,344000,0
BF13G13,2608.43474692377,209083.848715456,-377291831.506822,-2608.43474692377,513316.151284544,-1219927756.98089
BA14B14,34820.5796577025,424935.560536176,755928499.568557,-34820.5796577025,297464.439463824,-86705113.938714
BB14C14,25641.3936393462,344000,0,-25641.3936393462,344000,0
BC14D14,19406.2327949807,281999.972302525,110604841.018262,-19406.2327949807,406000.027697475,-730605117.993013
BD14E14,11026.7647738187,295646.293376975,259896612.604968,-11026.7647738187,392353.706623025,-743433678.835214
BE14F14,5993.14176031032,344000,0,-5993.14176031032,344000,0
BF14G14,2996.51759958829,212016.380327988,-361895812.722724,-2996.51759958829,510383.619672012,-1204532193.8334
BA15B15,35267.173595007,434311.073225865,805150328.966417,-35267.173595007,288088.926774135,-37484060.0948377
BB15C15,26534.2442369327,344000,0,-26534.2442369327,344000,0
BC15D15,20342.9787397351,288194.16794355,144754718.152485,-20342.9787397351,399805.83205645,-702813038.716985
BD15E15,11904.6173020902,300291.394487969,278337938.547963,-11904.6173020902,387708.605512031,-715423993.66827
BE15F15,6747.94415965072,344000,0,-6747.94415965072,344000,0
BF15G15,3374.09272389117,215349.669485424,-344396014.793842,-3374.09272389117,507050.330514576,-1187032455.6092
BA16B16,35684.4475110394,443233.821818108,851996191.682566,-35684.4475110394,279166.178181892,9358937.40756261
BB16C16,27371.1723755696,344000,0,-27371.1723755696,344000,0
BC16D16,21225.8034649365,294311.6687392,178658111.202498,-21225.8034649365,393688.3312608,-675541423.8105
BD16E16,12745.6597140839,305078.080811427,297576534.583032,-12745.6597140839,382921.919188573,-686795726.46876
BE16F16,7486.91167827179,344000,0,-7486.91167827179,344000,0
BF16G16,3742.33760095216,219073.952673365,-324842404.871664,-3742.33760095216,503326.047326635,-1167481092.05801
BA17B17,36085.9283884104,451732.010976247,896604814.037601,-36085.9283884104,270667.989023753,53981301.212992
BB17C17,28156.0568699881,344000,0,-28156.0568699881,344000,0
BC17D17,22061.5732734651,300353.229375531,212297761.628472,-22061.5732734651,387646.770624469,-648765467.873157
BD17E17,13556.471967197,309983.680880278,317494198.331841,-13556.471967197,378016.319119722,-657657389.529058
BE17F17,8213.48456494763,344000,0,-8213.48456494763,344000,0
BF17G17,4115.02857284967,223181.889147455,-303283248.256505,-4115.02857284967,499218.110852545,-1145906915.69522
BA18B18,36394.7713276835,459830.309193504,939176079.968033,-36394.7713276835,262569.690806496,96442166.5637622
BB18C18,28908.171869713,344000,0,-28908.171869713,344000,0
BC18D18,22854.9480161763,306321.277266853,245672759.321756,-22854.9480161763,381678.722733147,-622459986.653224
BD18E18,14342.3989254585,314984.007562946,337971983.77332,-14342.3989254585,373015.992437054,-628131908.143856
BE18F18,8946.26104053554,344000,0,-8946.26104053554,344000,0
BF18G18,4411.40137791017,227669.386296298,-279666778.365664,-4411.40137791017,494730.613703702,-1122404665.52321
BA19B19,37057.2650915581,467594.48776877,979537872.057069,-37057.2650915581,254805.51223123,137604249.515012
BB19C19,29242.8259777458,344000,0,-29242.8259777458,344000,0
BC19D19,23321.5147463529,312195.606621957,278631882.014646,-23321.5147463529,375804.393378043,-596675815.795073
BD19E19,14813.0045561045,320076.074615129,358969245.787723,-14813.0045561045,367923.925384871,-598208499.636433
BE19F19,9305.11035711628,344000,0,-9305.11035711628,344000,0
BF19G19,5106.5315740912,232491.026196504,-254770875.666777,-5106.5315740912,489908.973803496,-1096673349.26993
BA20B20,34669.1345383074,474193.3959449,1017140684.51776,-34669.1345383074,248206.6040551,169289972.903688
BB20C20,32274.5039515492,344000,0,-32274.5039515492,344000,0
BC20D20,25152.5370278733,318046.213624539,311700443.172746,-25152.5370278733,369953.786375461,-571238306.927352
BD20E20,16854.7528575383,325133.328417073,379967305.939092,-16854.7528575383,362866.671582927,-568634021.768358
BE20F20,12611.675089039,344000,0,-12611.675089039,344000,0
BF20G20,2758.76891388635,238475.821512348,-220275262.756386,-2758.76891388635,483924.178487652,-1068328611.36396
BA21B21,107392.656690637,473668.493692414,988403799.529168,-107392.656690637,248731.506307586,192515384.241179
