NODEID,FX,FY,FZ
A0,-137909.660198606,8258682.72621106,536863617.87947
B0,-204628.491849201,14755717.2737891,682286199.790412
C0,-149496.886578465,13064123.6954622,563884844.573441
D0,-50541.2951972929,15483841.3747148,
E0,-49414.0007593981,15996034.9298231,
F0,-152078.780752569,12029828.6351267,571144259.188459
G0,-217930.884668101,10984571.3648734,713878029.278639
