NODEID,FX,FY,MZ
B,2813.79170384329,0,0
C,1202.12319060229,0,0
E,3167.35381115563,0,0
F,1197.22604096324,0,0
G,1499.07727961135,0,0
H,569.111887550057,0,0
K,1427.89353417047,0,0
L,601.035637906715,0,0
