ID,FX,FY,MZ
A0,-944801.389259188,542068.693853562,3345741173.25421
B0,-995542.969518278,16222731.3061463,3458844075.10067
C0,-930121.493960797,3631365.95653741,3322236534.11157
D0,-278203.458178525,11395838.4010055,
E0,-218004.089743488,17420795.6424583,
F0,-964089.56978294,3284831.88123098,3399037422.66408
G0,-1009122.44177342,13479968.1187691,3494127400.59561
