NODEID,FX,FY,MZ
A0,-114985.838246262,8191415.00484848,
B0,-150393.851305734,14822984.9951516,
C0,-120336.218178661,12992089.2675645,
D0,-154495.099476498,15460977.5438783,
E0,-144093.356820474,16090933.1885569,
F0,-121127.687706265,11963883.9675216,
G0,-156567.948266244,11050516.0324788,
