NODEID,FX,FY,MZ
B,2813.79170384306,0,0
C,1202.12319060218,0,0
E,3167.35381115535,0,0
F,1197.22604096319,0,0
G,1499.07727961122,0,0
H,569.111887550034,0,0
K,1427.89353417035,0,0
L,601.03563790669,0,0
