ID,FX,FY,MZ
A0,-531043.6522311007,-62553.95899441721,1921652165.9223092
B0,-577535.8479059818,10676953.95899444,2021195514.2018948
C0,-269275.5979778288,6848000.000000024,1352152187.6296062
D0,-107413.28089687956,2634534.2799798455,
E0,-129305.53501315914,11061465.720020074,
F0,-262327.5424128897,7019200.000000023,1330339163.517505
G0,-258098.5435612416,3595200.000000012,1317087199.0330458
