ID,FX,FY,MZ
A0,-928730.794099,542068.693843,3345741173.26
B0,-513616.485284,16222731.3062,3458844075.1
C0,-821811.90978,3631365.95653,3322236534.12
D0,64246.2886108,11395838.401,
E0,305661.310142,17420795.6425,
F0,-865874.712412,3284831.88122,3399037422.67
G0,-606873.697192,13479968.1188,3494127400.6
