ID,FXJ,FYJ,MZJ,FXK,FYK,MZK
CA0A1,-14654844.317060633,1935973.384189177,6946682872.319824,14654844.317060633,-1935973.384189177,5637144124.909828
CB0B1,31419644.317055464,1983200.6666435366,7049582788.840637,-31419644.317055464,-1983200.6666435366,5841221544.342349
CC0C1,10815999.99999998,942464.345377892,4793587373.053371,-10815999.99999998,-942464.345377892,1332430871.9029274
CD0D1,-10860703.490728466,399090.1347842485,-3.5762786865234375e-07,10860703.490728466,-399090.1347842485,2594085876.0976152
CE0E1,32492703.49072985,419403.4234527828,1.1920928955078125e-07,-32492703.49072985,-419403.4234527828,2726122252.4430923
CF0F1,11086399.999999985,919354.3694260078,4724240852.459154,-11086399.999999985,-919354.3694260078,1251562548.8098974
CG0G1,5678399.999999978,904564.6907301031,4678011169.204065,-5678399.999999978,-904564.6907301031,1201659320.541607
CA1A2,-12822201.038829155,1836156.7316417554,5075089170.388649,12822201.038829155,-1836156.7316417554,5023772853.641008
CB1B2,28818201.038830735,1959071.9715417833,5423499581.718767,-28818201.038830735,-1959071.9715417833,5351396261.761049
CC1C2,10319999.999999978,-277176.62490543164,-1332430871.9029312,-10319999.999999978,277176.62490543164,-192040565.07695007
CD1D2,-9646953.787182946,2013891.7185244397,5714855371.636179,9646953.787182946,-2013891.7185244397,5361549080.248241
CE1E2,30286953.787185766,2135453.8239299557,6062433535.266397,-30286953.787185766,-2135453.8239299557,5682562496.348358
CF1F2,10577999.999999983,-249252.18050576723,-1251562548.8098984,-10577999.999999983,249252.18050576723,-119324443.97182465
CG1G2,5417999.999999978,-233196.0904656581,-1201659320.541607,-5417999.999999978,233196.0904656581,-80919177.01950836
CA2A3,-11234660.302647319,1573268.594403955,4370474908.142311,11234660.302647319,-1573268.594403955,4282502361.079445
CB2B3,26461860.302646384,1678592.0565332985,4657733706.391403,-26461860.302646384,-1678592.0565332985,4574522604.541733
CC2C3,9823999.999999978,36838.76852818229,192040565.07694626,-9823999.999999978,-36838.76852818229,10572661.82806015
CD2D3,-8129596.836239077,1595441.9895395646,4423566541.103996,8129596.836239077,-1595441.9895395646,4351364401.363609
CE2E3,27777596.8362408,1685452.9929861466,4665891391.7458,-27777596.8362408,-1685452.9929861466,4604100069.678009
CF2F3,10069599.999999978,17737.919113252312,119324443.97182846,-10069599.999999978,-17737.919113252312,-21765888.848934174
CG2G3,5157599.999999978,8134.06737806811,80919177.01950836,-5157599.999999978,-8134.06737806811,-36181806.44013977
CA3A4,-9818020.390075743,1512887.4320343072,4221662065.9409447,9818020.390075743,-1512887.4320343072,4099218810.247757
CB3B4,24276420.39007479,1624592.3807778086,4530232050.438992,-24276420.39007479,-1624592.3807778086,4405026043.838955
CC3C4,9327999.999999993,-8040.101263843477,-10572661.828063965,-9327999.999999993,8040.101263843477,-33647895.12308502
CD3D4,-6835877.630039226,1552275.1015670376,4331968307.259796,6835877.630039226,-1552275.1015670376,4205544751.358913
CE3E4,25491877.630040765,1652518.0865587788,4609759283.696716,-25491877.630040765,-1652518.0865587788,4479090192.376572
CF3F4,9561199.999999985,-642.0870194879826,21765888.84893799,-9561199.999999985,642.0870194879826,-25297367.456123352
CG3G4,4897199.999999978,2691.579824811546,36181806.44013977,-4897199.999999978,-2691.579824811546,-21378117.403671265
CA4A5,-8476345.768880665,1438312.5791168767,4007231493.390724,8476345.768880665,-1438312.5791168767,3903487691.7520757
CB4B5,22165945.768879592,1548604.9768465967,4310307175.072556,-22165945.768879592,-1548604.9768465967,4207020197.583725
CC4C5,8831999.999999985,4621.423373505939,33647895.12308502,-8831999.999999985,-4621.423373505939,-8230066.5687942505
CD4D5,-5614482.328523628,1475448.6461146756,4109478137.8604507,5614482.328523628,-1475448.6461146756,4005489415.7702637
CE4E5,23278482.328525275,1573868.9178166739,4379839933.561569,-23278482.328525275,-1573868.9178166739,4276439114.43013
CF4F5,9052799.999999985,2742.2152230544016,25297367.456123352,-9052799.999999985,-2742.2152230544016,-10215183.72932434
CG4G5,4636799.999999978,1847.004991660593,21378117.403671265,-4636799.999999978,-1847.004991660593,-11219589.949539185
CA5A6,-7215376.02234488,1359252.0568846148,3779947622.781456,7215376.02234488,-1359252.0568846148,3695938690.083931
CB5B6,20136176.022343844,1469782.0737863323,4083926826.508301,-20136176.022343844,-1469782.0737863323,3999874579.3165135
CC5C6,8336000.0,1851.6613570195623,8230066.5687942505,-8336000.0,-1851.6613570195623,1954070.8948135376
CD5D6,-4478893.888457373,1396128.9502837153,3881425608.7850037,4478893.888457373,-1396128.9502837153,3797283617.775437
CE5E6,21150893.888459086,1494710.2454984267,4152530261.676155,-21150893.888459086,-1494710.2454984267,4068376088.565193
CF5F6,8544400.0,2307.428986405721,10215183.72932434,-8544400.0,-2307.428986405721,2475675.6958999634
CG5G6,4376399.999999989,2535.999978746753,11219589.949539185,-4376399.999999989,-2535.999978746753,2728409.933555603
CA6A7,-6040797.01796338,1273191.40089277,3533880221.6359634,6040797.01796338,-1273191.40089277,3468672483.2742696
CB6B7,18192797.017962247,1383641.0824790613,3837586054.970337,-18192797.017962247,-1383641.0824790613,3772439898.664505
CC6C7,7840000.000000015,2127.3305704586674,-1954070.8948135376,-7840000.000000015,-2127.3305704586674,13654389.032341003
CD6D7,-3434238.0613462254,1309971.6447494032,3634949144.9305267,3434238.0613462254,-1309971.6447494032,3569894901.1911926
CE6E7,19114238.061347574,1408524.7994493844,3905949419.842827,-19114238.061347574,-1408524.7994493844,3840936977.1287837
CF6F7,8036000.0,2022.253622226417,-2475675.6958999634,-8036000.0,-2022.253622226417,13598070.618156433
CG6G7,4115999.9999999963,1966.1835651453584,-2728409.933555603,-4115999.9999999963,-1966.1835651453584,13542419.541862488
CA7A8,-4958668.271920055,1182432.1781314327,3275874994.6779175,4958668.271920055,-1182432.1781314327,3227501985.0449524
