ID,FX,FY,MZ
A0,-814612.9431522647,-1552483.641175226,2922824099.5747585
B0,-861413.9019756962,12166883.641174542,3023585909.6313076
C0,-408594.3711266373,6848000.000000017,2041539928.932597
D0,-169339.94580332492,1148015.3281611686,
E0,-190949.9706983209,12547984.671838403,
F0,-398578.6022056256,7019200.000000019,2010958434.5621727
G0,-392231.0458613172,3595200.00000001,1991132492.5010548
