ID,FXJ,FYJ,MZJ,FXK,FYK,MZK
CB13B14,422380.478626,58634.6411245,191465567.526,-422380.478626,-58634.6411245,218976920.346
CC13C14,400000.0,-3664.55246664,-25651867.2665,-400000.0,3664.55246664,-1.66893005371e-06
CD13D14,364505.238789,10440.3525231,31352201.6023,-364505.238789,-10440.3525231,41730266.0593
CE13E14,435494.761211,84618.0239385,279108821.521,-435494.761211,-84618.0239385,313217346.048
CF13F14,410000.0,-3549.25572037,-24844790.0426,-410000.0,3549.25572037,-1.66893005371e-06
CG13G14,210000.0,-3544.55095361,-24811856.6752,-210000.0,3544.55095361,-7.15255737305e-07
BA1B1,51200.6230999,-615105.504794,-4322829560.72,-51200.6230999,1135905.50479,-4869978239.62
BB1C1,78675.8509864,248000.0,0.0,-78675.8509864,248000.0,0.0
BC1D1,-428387.796694,248000.0,0.0,428387.796694,248000.0,0.0
BD1E1,199971.494333,-468750.393258,-3349251745.83,-199971.494333,964750.393258,-3818252186.75
BE1F1,974089.419496,248000.0,0.0,-974089.419496,248000.0,0.0
BF1G1,485635.277642,260400.0,0.0,-485635.277642,260400.0,0.0
BA2B2,3155.44338927,-477897.859927,-3568166499.13,-3155.44338927,998697.859927,-4183961030.1
BB2C2,-88519.3011881,248000.0,0.0,88519.3011881,248000.0,0.0
BC2D2,79616.013672,248000.0,0.0,-79616.013672,248000.0,0.0
BD2E2,-122168.579387,-568742.336006,-3805099599.72,122168.579387,1064742.33601,-4362323760.35
BE2F2,-278035.44606,248000.0,0.0,278035.44606,248000.0,0.0
BF2G2,-125676.591753,260400.0,0.0,125676.591753,260400.0,0.0
BA3B3,84505.7817675,-371687.240596,-3016226478.16,-84505.7817675,892487.240596,-3620689548.1
BB3C3,61035.2761498,248000.0,0.0,-61035.2761498,248000.0,0.0
BC3D3,56141.887702,248000.0,0.0,-56141.887702,248000.0,0.0
BD3E3,2592.60883155,-442411.667523,-3183583028.42,-2592.60883155,938411.667523,-3720533646.82
BE3F3,-8598.98940337,248000.0,0.0,8598.98940337,248000.0,0.0
BF3G3,-3018.43699527,260400.0,0.0,3018.43699527,260400.0,0.0
BA4B4,82646.0295657,-304030.345377,-2659313424.69,-82646.0295657,824830.345377,-3267205201.77
BB4C4,47770.6800866,248000.0,0.0,-47770.6800866,248000.0,0.0
BC4D4,69260.7458822,248000.0,0.0,-69260.7458822,248000.0,0.0
BD4E4,5478.52469403,-377048.095208,-2853941412.73,-5478.52469403,873048.095208,-3396539539.36
BE4F4,-26311.6946806,248000.0,0.0,26311.6946806,248000.0,0.0
BF4G4,-8201.92966133,260400.0,0.0,8201.92966133,260400.0,0.0
BA5B5,87342.9111014,-237090.666334,-2308189733.71,-87342.9111014,757890.666334,-2915462262.8
BB5C5,52497.1370223,248000.0,0.0,-52497.1370223,248000.0,0.0
BC5D5,66412.5276937,248000.0,0.0,-66412.5276937,248000.0,0.0
BD5E5,7612.14452118,-309184.884991,-2515040008.57,-7612.14452118,805184.884991,-3056808841.35
BE5F5,-23504.6342394,248000.0,0.0,23504.6342394,248000.0,0.0
BF5G5,-8216.74214691,260400.0,0.0,8216.74214691,260400.0,0.0
BA6B6,90480.4853931,-172355.903909,-1968271699.21,-90480.4853931,693155.903909,-2575665291.84
BB6C6,53653.6446896,248000.0,0.0,-53653.6446896,248000.0,0.0
BC6D6,68008.3868934,248000.0,0.0,-68008.3868934,248000.0,0.0
BD6E6,11734.5382574,-243679.095194,-2187466623.44,-11734.5382574,739679.095194,-2729324328.5
BE6F6,-21718.9803725,248000.0,0.0,21718.9803725,248000.0,0.0
BF6G6,-7251.08214122,260400.0,0.0,7251.08214122,260400.0,0.0
BA7B7,93855.5470593,-109357.464893,-1637540144.68,-93855.5470593,630157.464893,-2244913236.69
BB7C7,55709.9424335,248000.0,0.0,-55709.9424335,248000.0,0.0
BC7D7,68611.2239978,248000.0,0.0,-68611.2239978,248000.0,0.0
BD7E7,15087.0087863,-179727.228277,-1867706283.17,-15087.0087863,675727.228277,-2409565999.59
BE7F7,-20074.0470178,248000.0,0.0,20074.0470178,248000.0,0.0
BF7G7,-6792.21520239,260400.0,0.0,6792.21520239,260400.0,0.0
BA8B8,97075.3987434,-48406.1518541,-1317540984.52,-97075.3987434,569206.151854,-1924923609.95
BB8C8,57811.7605551,248000.0,0.0,-57811.7605551,248000.0,0.0
BC8D8,69544.1086837,248000.0,0.0,-69544.1086837,248000.0,0.0
BD8E8,18543.4309806,-117642.163235,-1557280215.78,-18543.4309806,613642.163235,-2099141416.57
BE8F8,-18125.9260634,248000.0,0.0,18125.9260634,248000.0,0.0
BF8G8,-6112.033104,260400.0,0.0,6112.033104,260400.0,0.0
BA9B9,100156.804113,10354.4432558,-1009047891.95,-100156.804113,510445.556744,-1616430453.86
BB9C9,60087.1476147,248000.0,0.0,-60087.1476147,248000.0,0.0
BC9D9,70488.1216307,248000.0,0.0,-70488.1216307,248000.0,0.0
BD9E9,21814.5660716,-57551.3810566,-1256826222.4,-21814.5660716,553551.381057,-1798687588.16
BE9F9,-16094.8659962,248000.0,0.0,16094.8659962,248000.0,0.0
BF9G9,-5430.69014537,260400.0,0.0,5430.69014537,260400.0,0.0
BA10B10,103031.785688,66797.8002329,-712697692.292,-103031.785688,454002.199767,-1320125405.26
BB10C10,62493.0209212,248000.0,0.0,-62493.0209212,248000.0,0.0
BC10D10,71495.0886753,248000.0,0.0,-71495.0886753,248000.0,0.0
BD10E10,24906.8048946,436.793879002,-966858041.144,-24906.8048946,495563.206121,-1508774020.07
BE10F10,-13907.5251114,248000.0,0.0,13907.5251114,248000.0,0.0
BF10G10,-4689.45661902,260400.0,0.0,4689.45661902,260400.0,0.0
BA11B11,105702.314181,120874.862069,-428918840.319,-105702.314181,399925.137931,-1036095107.96
BB11C11,64638.8319172,248000.0,0.0,-64638.8319172,248000.0,0.0
BC11D11,72375.4614201,248000.0,0.0,-72375.4614201,248000.0,0.0
BD11E11,27612.5938956,56330.8998224,-687538424.32,-27612.5938956,439669.100178,-1229152577.46
BE11F11,-12257.5967742,248000.0,0.0,12257.5967742,248000.0,0.0
BF11G11,-4191.05667436,260400.0,0.0,4191.05667436,260400.0,0.0
BA12B12,108685.06222,171583.091469,-161851425.564,-108685.06222,349216.908531,-770726114.011
BB12C12,70636.014309,248000.0,0.0,-70636.014309,248000.0,0.0
BC12D12,75228.3403721,248000.0,0.0,-75228.3403721,248000.0,0.0
BD12E12,32115.4255215,109389.767873,-421303035.27,-32115.4255215,386610.232127,-964799286.004
BE12F12,-5612.19661069,248000.0,0.0,5612.19661069,248000.0,0.0
BF12G12,-1243.27945209,260400.0,0.0,1243.27945209,260400.0,0.0
BA13B13,146608.392376,216217.778099,63888357.2209,-146608.392376,304582.221901,-527801687.185
BB13C13,93088.9725462,248000.0,0.0,-93088.9725462,248000.0,0.0
BC13D13,96011.1026716,248000.0,0.0,-96011.1026716,248000.0,0.0
BD13E13,58107.3699273,158089.872537,-186212859.992,-58107.3699273,337910.127463,-712888414.641
BE13F13,-4393.71282709,248000.0,0.0,4393.71282709,248000.0,0.0
BF13G13,-987.84864068,260400.0,0.0,987.84864068,260400.0,0.0
BA14B14,124924.594443,197619.521374,88981894.7715,-124924.594443,222380.478626,-218976920.346
BB14C14,69679.3119997,200000.0,0.0,-69679.3119997,200000.0,0.0
BC14D14,76555.998082,200000.0,0.0,-76555.998082,200000.0,0.0
BD14E14,69044.5355951,164505.238789,-41730266.0593,-69044.5355951,235494.761211,-313217346.048
BE14F14,-12075.3850086,200000.0,0.0,12075.3850086,200000.0,0.0
BF14G14,-5232.01594377,210000.0,0.0,5232.01594377,210000.0,0.0
